"measure","model","value","file"
"RMSE","MBG/CNBD-k",3.19189422127334,"grocery-draws.rdata"
"RMSE","P/NBD",3.19018967380107,"grocery-draws.rdata"
"RMSE","P/GGG",3.15481845883352,"grocery-draws.rdata"
"BIAS","BG/NBD",0.182059435235601,"grocery-draws.rdata"
"BIAS","BG/CNBD-k",0.132812678302153,"grocery-draws.rdata"
"BIAS","MBG/NBD",0.190539080723673,"grocery-draws.rdata"
"BIAS","MBG/CNBD-k",0.174243049483953,"grocery-draws.rdata"
"BIAS","P/NBD",0.185189829841645,"grocery-draws.rdata"
"BIAS","P/GGG",0.126679453132684,"grocery-draws.rdata"
"LL","BG/NBD",-15836.5662391446,"grocery-draws.rdata"
"LL","BG/CNBD-k",-15054.1729044916,"grocery-draws.rdata"
"LL","MBG/NBD",-15781.9393759817,"grocery-draws.rdata"
"LL","MBG/CNBD-k",-14978.2107316284,"grocery-draws.rdata"
"LL","P/NBD",NA,"grocery-draws.rdata"
"LL","P/GGG",NA,"grocery-draws.rdata"
"MAE","BG/NBD",0.440270480552388,"m18-draws.rdata"
"MAE","BG/CNBD-k",0.440270480552388,"m18-draws.rdata"
"MAE","MBG/NBD",0.433656968298002,"m18-draws.rdata"
"MAE","MBG/CNBD-k",0.433656968298002,"m18-draws.rdata"
"MAE","P/NBD",0.430575611712796,"m18-draws.rdata"
"MAE","P/GGG",0.44485559566787,"m18-draws.rdata"
"RMSE","BG/NBD",0.862688421903591,"m18-draws.rdata"
"RMSE","BG/CNBD-k",0.862688421903591,"m18-draws.rdata"
"RMSE","MBG/NBD",0.860698580406536,"m18-draws.rdata"
"RMSE","MBG/CNBD-k",0.860698580406536,"m18-draws.rdata"
"RMSE","P/NBD",0.852288384707497,"m18-draws.rdata"
"RMSE","P/GGG",0.855045518055179,"m18-draws.rdata"
"BIAS","BG/NBD",0.0841256683945605,"m18-draws.rdata"
"BIAS","BG/CNBD-k",0.0841256683945605,"m18-draws.rdata"
"BIAS","MBG/NBD",0.056525617891756,"m18-draws.rdata"
"BIAS","MBG/CNBD-k",0.056525617891756,"m18-draws.rdata"
"BIAS","P/NBD",0.114304670912951,"m18-draws.rdata"
"BIAS","P/GGG",0.130865180467091,"m18-draws.rdata"
"LL","BG/NBD",-5284.61341715317,"m18-draws.rdata"
"LL","BG/CNBD-k",-5284.61341715317,"m18-draws.rdata"
"LL","MBG/NBD",-5285.78174730747,"m18-draws.rdata"
"LL","MBG/CNBD-k",-5285.78174730747,"m18-draws.rdata"
"LL","P/NBD",NA,"m18-draws.rdata"
"LL","P/GGG",NA,"m18-draws.rdata"
"MAE","BG/NBD",0.308338100644589,"office-draws.rdata"
"MAE","BG/CNBD-k",0.293871468301991,"office-draws.rdata"
"MAE","MBG/NBD",0.308368081821637,"office-draws.rdata"
"MAE","MBG/CNBD-k",0.288224092606545,"office-draws.rdata"
"MAE","P/NBD",0.292933333333333,"office-draws.rdata"
"MAE","P/GGG",0.282291666666667,"office-draws.rdata"
"RMSE","BG/NBD",0.634976669775751,"office-draws.rdata"
"RMSE","BG/CNBD-k",0.622238517186056,"office-draws.rdata"
"RMSE","MBG/NBD",0.634836146548999,"office-draws.rdata"
"RMSE","MBG/CNBD-k",0.621093027612585,"office-draws.rdata"
"RMSE","P/NBD",0.604124711186909,"office-draws.rdata"
"RMSE","P/GGG",0.630716358595526,"office-draws.rdata"
"BIAS","BG/NBD",-0.00779664938293555,"office-draws.rdata"
"BIAS","BG/CNBD-k",0.00789097063059865,"office-draws.rdata"
"BIAS","MBG/NBD",-0.00599577723681843,"office-draws.rdata"
"BIAS","MBG/CNBD-k",-0.0340739215080059,"office-draws.rdata"
"BIAS","P/NBD",-0.0217345872518286,"office-draws.rdata"
"BIAS","P/GGG",-0.076619644723093,"office-draws.rdata"
"LL","BG/NBD",-2954.23712209224,"office-draws.rdata"
"LL","BG/CNBD-k",-2898.23571151501,"office-draws.rdata"
"LL","MBG/NBD",-2954.35611390023,"office-draws.rdata"
"LL","MBG/CNBD-k",-2898.80500170767,"office-draws.rdata"
"LL","P/NBD",NA,"office-draws.rdata"
"LL","P/GGG",NA,"office-draws.rdata"
