file,para_BG/CNBD-k,para_BG/NBD,para_MBG/CNBD-k,para_MBG/NBD,para_Pareto/GGG,para_Pareto/NBD,para_Pareto/NBD (HB),cond_BG/CNBD-k,cond_BG/NBD,cond_MBG/CNBD-k,cond_MBG/NBD,cond_Pareto/GGG,cond_Pareto/NBD,cond_Pareto/NBD (HB)
cdnow-draws.rdata,0.745000000000346,0.204999999999927,0.771000000000186,0.19399999999996,565.68,0,18.856,0.00300000000015643,0.00300000000015643,0.00199999999995271,0.00199999999995271,113.136,0,75.424
dietary-draws.rdata,0.649999999999636,0.177999999999884,0.660999999999604,0.0909999999998945,240,0,8,0.113000000000284,0.00100000000020373,0.121000000000095,0.00100000000020373,48,0,32
donations-draws.rdata,9.04200000000037,2.72299999999996,12.2579999999998,3.01000000000022,20319.36,0,677.312,0.728000000000066,0.01299999999992,0.716000000000349,0.01299999999992,1015.968,0,677.312
grocery-draws.rdata,0.666999999999916,0.121999999999844,0.651000000000295,0.163000000000011,366,0,12.2,5.22500000000036,0.00199999999995271,1.40700000000015,0.00199999999995271,73.2,0,48.8
m18-draws.rdata,0.309000000000196,0.0809999999996762,0.302000000000135,0.101000000000113,199.44,0,6.648,0.000999999999748979,0.000999999999748979,0.000999999999748979,0.00100000000020373,39.888,0,26.592
office-draws.rdata,0.920999999999822,0.358000000000175,0.840999999999895,0.390000000000327,240,0,8,0.217000000000098,0.00100000000020373,0.1550000000002,0.000999999999748979,48,0,32
