"category","measure","model","value","k_wheat_tot","k_wheat"
"Allesreiniger","BIAS","MBG/CNBD-k",-0.223850231599852,"1.99316254054854","2.08286737415866"
"Allesreiniger","LL","BG/NBD",-3080.26426004345,"1.99316254054854","2.08286737415866"
"Allesreiniger","LL","BG/CNBD-k",-3003.7443345463,"1.99316254054854","2.08286737415866"
"Allesreiniger","LL","MBG/NBD",-3079.8309846648,"1.99316254054854","2.08286737415866"
"Allesreiniger","LL","MBG/CNBD-k",-2991.05737925527,"1.99316254054854","2.08286737415866"
"Allesreiniger","r","BG/NBD",0.44162493998928,"1.99316254054854","2.08286737415866"
"Allesreiniger","r","BG/CNBD-k",0.342707113689948,"1.99316254054854","2.08286737415866"
"Allesreiniger","r","MBG/NBD",0.953505485446659,"1.99316254054854","2.08286737415866"
"Allesreiniger","r","MBG/CNBD-k",1.89074179012547,"1.99316254054854","2.08286737415866"
"Allesreiniger","alpha","BG/NBD",20.4539948195949,"1.99316254054854","2.08286737415866"
"Allesreiniger","alpha","BG/CNBD-k",3.07431622755054,"1.99316254054854","2.08286737415866"
"Allesreiniger","alpha","MBG/NBD",27.7035679646454,"1.99316254054854","2.08286737415866"
"Allesreiniger","alpha","MBG/CNBD-k",8.04316922238717,"1.99316254054854","2.08286737415866"
"Allesreiniger","a","BG/NBD",0.0620929144617511,"1.99316254054854","2.08286737415866"
"Allesreiniger","a","BG/CNBD-k",0.70037764793678,"1.99316254054854","2.08286737415866"
"Allesreiniger","a","MBG/NBD",0.26204904962506,"1.99316254054854","2.08286737415866"
"Allesreiniger","a","MBG/CNBD-k",0.880949985800323,"1.99316254054854","2.08286737415866"
"Allesreiniger","b","BG/NBD",0.465182117953563,"1.99316254054854","2.08286737415866"
"Allesreiniger","b","BG/CNBD-k",1.42848116738447,"1.99316254054854","2.08286737415866"
"Allesreiniger","b","MBG/NBD",0.502237662382135,"1.99316254054854","2.08286737415866"
"Allesreiniger","b","MBG/CNBD-k",0.703942976297545,"1.99316254054854","2.08286737415866"
"Allesreiniger","k","BG/NBD",1,"1.99316254054854","2.08286737415866"
"Allesreiniger","k","BG/CNBD-k",3,"1.99316254054854","2.08286737415866"
"Allesreiniger","k","MBG/NBD",1,"1.99316254054854","2.08286737415866"
"Allesreiniger","k","MBG/CNBD-k",3,"1.99316254054854","2.08286737415866"
"Allesreiniger","N","BG/NBD",863,"1.99316254054854","2.08286737415866"
"Allesreiniger","N","BG/CNBD-k",863,"1.99316254054854","2.08286737415866"
"Allesreiniger","N","MBG/NBD",863,"1.99316254054854","2.08286737415866"
"Allesreiniger","N","MBG/CNBD-k",863,"1.99316254054854","2.08286737415866"
"Apperitif","MAE","BG/NBD",1.21211878552355,"1.91777030851417","2.09056600925467"
"Apperitif","MAE","BG/CNBD-k",1.11341852450034,"1.91777030851417","2.09056600925467"
"Apperitif","MAE","MBG/NBD",1.1497453561161,"1.91777030851417","2.09056600925467"
"Apperitif","MAE","MBG/CNBD-k",1.01500745438589,"1.91777030851417","2.09056600925467"
"Apperitif","RMSE","BG/NBD",2.59458309307674,"1.91777030851417","2.09056600925467"
"Apperitif","RMSE","BG/CNBD-k",2.48374732906838,"1.91777030851417","2.09056600925467"
"Apperitif","RMSE","MBG/NBD",2.37620574557541,"1.91777030851417","2.09056600925467"
"Apperitif","RMSE","MBG/CNBD-k",2.25559063657574,"1.91777030851417","2.09056600925467"
"Apperitif","BIAS","BG/NBD",0.373144454431888,"1.91777030851417","2.09056600925467"
"Apperitif","BIAS","BG/CNBD-k",0.201217253943124,"1.91777030851417","2.09056600925467"
"Apperitif","BIAS","MBG/NBD",0.301900682993162,"1.91777030851417","2.09056600925467"
"Apperitif","BIAS","MBG/CNBD-k",0.0376023035630121,"1.91777030851417","2.09056600925467"
"Apperitif","LL","BG/NBD",-3572.50538842481,"1.91777030851417","2.09056600925467"
"Apperitif","LL","BG/CNBD-k",-3355.80032806622,"1.91777030851417","2.09056600925467"
"Apperitif","LL","MBG/NBD",-3576.07402771279,"1.91777030851417","2.09056600925467"
"Apperitif","LL","MBG/CNBD-k",-3358.08166791523,"1.91777030851417","2.09056600925467"
"Apperitif","r","BG/NBD",0.233942897321137,"1.91777030851417","2.09056600925467"
"Apperitif","r","BG/CNBD-k",0.247668264890447,"1.91777030851417","2.09056600925467"
"Apperitif","r","MBG/NBD",0.354884269900379,"1.91777030851417","2.09056600925467"
"Apperitif","r","MBG/CNBD-k",0.568540386259354,"1.91777030851417","2.09056600925467"
"Apperitif","alpha","BG/NBD",3.45812315353345,"1.91777030851417","2.09056600925467"
"Apperitif","alpha","BG/CNBD-k",0.946425098404558,"1.91777030851417","2.09056600925467"
"Apperitif","alpha","MBG/NBD",4.08483198482157,"1.91777030851417","2.09056600925467"
"Apperitif","alpha","MBG/CNBD-k",1.36688277339145,"1.91777030851417","2.09056600925467"
"Apperitif","a","BG/NBD",0.20349173404499,"1.91777030851417","2.09056600925467"
"Apperitif","a","BG/CNBD-k",0.29923576552553,"1.91777030851417","2.09056600925467"
"Apperitif","a","MBG/NBD",0.340251044513353,"1.91777030851417","2.09056600925467"
"Apperitif","a","MBG/CNBD-k",0.483562164229003,"1.91777030851417","2.09056600925467"
"Apperitif","b","BG/NBD",0.904959750764897,"1.91777030851417","2.09056600925467"
"Apperitif","b","BG/CNBD-k",0.828803625615409,"1.91777030851417","2.09056600925467"
"Apperitif","b","MBG/NBD",1.11931326348363,"1.91777030851417","2.09056600925467"
"Apperitif","b","MBG/CNBD-k",0.765397226365675,"1.91777030851417","2.09056600925467"
"Apperitif","k","BG/NBD",1,"1.91777030851417","2.09056600925467"
"Apperitif","k","BG/CNBD-k",3,"1.91777030851417","2.09056600925467"
"Apperitif","k","MBG/NBD",1,"1.91777030851417","2.09056600925467"
"Apperitif","k","MBG/CNBD-k",3,"1.91777030851417","2.09056600925467"
"Apperitif","N","BG/NBD",623,"1.91777030851417","2.09056600925467"
"Apperitif","N","BG/CNBD-k",623,"1.91777030851417","2.09056600925467"
"Apperitif","N","MBG/NBD",623,"1.91777030851417","2.09056600925467"
"Apperitif","N","MBG/CNBD-k",623,"1.91777030851417","2.09056600925467"
"Backwaren","MAE","BG/NBD",0.70012599061016,"1.45190796865284","1.74203809871831"
"Backwaren","MAE","BG/CNBD-k",0.664383715518988,"1.45190796865284","1.74203809871831"
"Backwaren","MAE","MBG/NBD",0.592097428752103,"1.45190796865284","1.74203809871831"
"Backwaren","MAE","MBG/CNBD-k",0.547372319212061,"1.45190796865284","1.74203809871831"
"Backwaren","RMSE","BG/NBD",1.56731400338812,"1.45190796865284","1.74203809871831"
"Backwaren","RMSE","BG/CNBD-k",1.58939911068419,"1.45190796865284","1.74203809871831"
"Backwaren","RMSE","MBG/NBD",1.62496687924139,"1.45190796865284","1.74203809871831"
"Backwaren","RMSE","MBG/CNBD-k",1.60538088888499,"1.45190796865284","1.74203809871831"
"Backwaren","BIAS","BG/NBD",-0.152217651798214,"1.45190796865284","1.74203809871831"
"Backwaren","BIAS","BG/CNBD-k",-0.277830594584958,"1.45190796865284","1.74203809871831"
"Backwaren","BIAS","MBG/NBD",-0.426072054622599,"1.45190796865284","1.74203809871831"
"Backwaren","BIAS","MBG/CNBD-k",-0.518530720027151,"1.45190796865284","1.74203809871831"
"Backwaren","LL","BG/NBD",-863.949093191591,"1.45190796865284","1.74203809871831"
"Backwaren","LL","BG/CNBD-k",-843.225655924808,"1.45190796865284","1.74203809871831"
"Backwaren","LL","MBG/NBD",-856.089371510475,"1.45190796865284","1.74203809871831"
"Backwaren","LL","MBG/CNBD-k",-830.637220060685,"1.45190796865284","1.74203809871831"
"Backwaren","r","BG/NBD",0.221027757312204,"1.45190796865284","1.74203809871831"
"Backwaren","r","BG/CNBD-k",0.21941390020142,"1.45190796865284","1.74203809871831"
"Backwaren","r","MBG/NBD",4.96005792681304,"1.45190796865284","1.74203809871831"
"Backwaren","r","MBG/CNBD-k",2.99170938493708,"1.45190796865284","1.74203809871831"
"Backwaren","alpha","BG/NBD",4.90207323678786,"1.45190796865284","1.74203809871831"
"Backwaren","alpha","BG/CNBD-k",1.83034542427713,"1.45190796865284","1.74203809871831"
"Backwaren","alpha","MBG/NBD",38.3135426685283,"1.45190796865284","1.74203809871831"
"Backwaren","alpha","MBG/CNBD-k",6.24169836466918,"1.45190796865284","1.74203809871831"
"Backwaren","a","BG/NBD",1.13841099287395,"1.45190796865284","1.74203809871831"
"Backwaren","a","BG/CNBD-k",1.35070368328403,"1.45190796865284","1.74203809871831"
"Backwaren","a","MBG/NBD",1.29039516140169,"1.45190796865284","1.74203809871831"
"Backwaren","a","MBG/CNBD-k",1.45784837266919,"1.45190796865284","1.74203809871831"
"Backwaren","b","BG/NBD",2.24832721796166,"1.45190796865284","1.74203809871831"
"Backwaren","b","BG/CNBD-k",2.0383978557897,"1.45190796865284","1.74203809871831"
"Backwaren","b","MBG/NBD",0.781200296429719,"1.45190796865284","1.74203809871831"
"Backwaren","b","MBG/CNBD-k",0.871705357902464,"1.45190796865284","1.74203809871831"
"Backwaren","k","BG/NBD",1,"1.45190796865284","1.74203809871831"
"Backwaren","k","BG/CNBD-k",2,"1.45190796865284","1.74203809871831"
"Backwaren","k","MBG/NBD",1,"1.45190796865284","1.74203809871831"
"Backwaren","k","MBG/CNBD-k",3,"1.45190796865284","1.74203809871831"
"Backwaren","N","BG/NBD",233,"1.45190796865284","1.74203809871831"
"Backwaren","N","BG/CNBD-k",233,"1.45190796865284","1.74203809871831"
"Backwaren","N","MBG/NBD",233,"1.45190796865284","1.74203809871831"
"Backwaren","N","MBG/CNBD-k",233,"1.45190796865284","1.74203809871831"
"Baeckerei_Konditorwaren","MAE","BG/NBD",1.20256773118904,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","MAE","BG/CNBD-k",1.1450795746788,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","MAE","MBG/NBD",1.14816555179816,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","MAE","MBG/CNBD-k",1.09107291031139,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","RMSE","BG/NBD",2.77483096102441,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","RMSE","BG/CNBD-k",2.82121456159107,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","RMSE","MBG/NBD",2.79030169125329,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","RMSE","MBG/CNBD-k",2.83904214203208,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","BIAS","BG/NBD",0.0999111244794585,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","BIAS","BG/CNBD-k",-0.0535196040511525,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","BIAS","MBG/NBD",0.0529017623322481,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","BIAS","MBG/CNBD-k",-0.0892141009425254,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","LL","BG/NBD",-8460.23645063867,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","LL","BG/CNBD-k",-8170.03923174053,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","LL","MBG/NBD",-8442.19556514517,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","LL","MBG/CNBD-k",-8138.14082168104,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","r","BG/NBD",0.25558920037942,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","r","BG/CNBD-k",0.262860560240823,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","r","MBG/NBD",0.883175731397666,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","r","MBG/CNBD-k",1.03363769100453,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","alpha","BG/NBD",2.74449512650123,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","alpha","BG/CNBD-k",1.15818968193526,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","alpha","MBG/NBD",5.41976785738679,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","alpha","MBG/CNBD-k",2.60037825478914,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","a","BG/NBD",0.627576826799985,"1.68450054219302","1.74519568682127"
