"cust","date","amt"
6368,2010-04-22,119
6399,2009-04-14,154
6535,2009-04-15,39
6535,2009-11-24,128
6544,2009-04-15,137
6544,2009-05-03,49
6544,2009-05-17,39
6544,2009-10-08,25
6771,2009-04-16,69
7154,2009-04-06,217
7154,2009-06-27,158
7359,2009-04-08,119
7359,2009-04-27,49
7359,2009-05-06,191
7359,2009-06-29,29
7359,2009-06-30,185
7361,2009-04-05,206
7361,2009-04-20,82
7361,2009-04-26,4
7361,2009-05-23,157
7361,2009-06-17,153
7361,2009-06-20,153.9
7361,2009-09-07,98
7361,2010-03-15,519
7361,2010-03-26,107.9
7361,2010-03-27,49
7361,2010-03-29,139
7366,2009-04-09,99
7369,2009-04-01,99
7369,2009-04-02,59
7369,2009-06-04,59
7369,2009-06-10,59
7369,2009-06-14,49
7369,2009-07-19,69
7369,2009-07-25,39
7369,2009-07-26,19
7369,2009-08-16,59
7369,2009-10-20,59
7369,2009-10-22,59
7369,2010-03-11,79
7369,2010-03-12,188
7369,2010-03-13,39
7373,2009-04-03,305
7373,2009-05-14,60
7373,2009-06-10,358
7373,2009-07-05,120
7373,2009-08-01,414.9
7373,2009-10-21,39
7373,2009-11-03,389.9
7373,2009-12-10,41
7373,2010-01-05,171
7373,2010-01-08,161
7373,2010-01-29,328
7373,2010-04-02,98
7373,2010-04-26,299
7374,2009-04-02,135
7375,2009-04-02,158
7377,2009-04-06,99
7386,2009-04-02,138
7387,2009-04-07,128
7387,2009-04-13,39
7387,2009-07-19,108
7388,2009-04-06,178
7389,2009-04-09,227
7389,2010-01-13,185
7394,2009-04-06,62
7394,2009-04-21,100
7394,2009-05-06,157
7394,2009-05-21,216
7394,2009-06-02,225
7394,2009-06-21,235
7394,2009-06-22,5
7394,2009-06-23,153
7394,2009-06-30,64
7394,2009-07-20,77.9
7394,2009-07-28,164
7394,2009-08-06,49
7394,2009-10-11,114
7394,2009-10-14,39
7394,2009-10-31,339
7394,2009-11-04,74
7394,2009-12-20,29.9
7394,2010-03-11,19
7394,2010-03-13,89
7394,2010-03-17,199
7395,2009-04-08,79
7397,2009-04-03,159
7398,2009-04-05,88
7403,2009-04-08,89
7405,2009-04-03,158
7406,2009-04-09,256
7406,2009-04-18,319
7406,2010-03-23,157
7406,2010-03-29,19
7409,2009-04-06,150
7409,2010-01-10,271
7414,2009-04-08,536
7414,2009-05-16,340
7414,2010-04-02,225
7426,2009-04-13,108
7426,2010-04-21,2097
7428,2009-04-13,253
7429,2009-04-11,49
7431,2009-04-17,48
7432,2009-04-17,224
7432,2009-05-13,202
7432,2009-11-05,101.9
7436,2009-04-11,99
7436,2009-04-30,167
7436,2009-08-16,209
7436,2009-08-18,59
7436,2009-08-19,68.8
7436,2009-09-26,69
7439,2009-04-18,39.5
7439,2009-12-25,42
7440,2009-04-14,176
7440,2009-04-15,167
7441,2009-04-12,79
7441,2010-03-07,377
7442,2009-04-21,99
7442,2009-05-03,157
7442,2009-05-27,362
7442,2009-07-13,149
7442,2009-08-05,29
