"merchant","cust","date","first"
"office","0ba8d583bb0acaee968f03aa6864ea64",2014-04-11,2014-04-11
"office","0c224f307a992f0d0956e5e833d9d287",2014-04-10,2014-04-10
"office","0c9c53531c15d24c45f4b740dd783727",2014-04-24,2014-04-24
"office","0d10580d4e5e7ed47ebfd770b1ad1b06",2014-04-08,2014-04-08
"office","0d17bd94a4148b699a4e26bfaf78beaf",2014-07-09,2014-03-26
"office","0d17bd94a4148b699a4e26bfaf78beaf",2014-03-26,2014-03-26
"office","0d30107b4fc96e5bf9b86443fecc43fa",2014-06-03,2014-04-29
"office","0d30107b4fc96e5bf9b86443fecc43fa",2014-04-29,2014-04-29
"office","0da495bd39df4138ec0964a4b7bf5098",2014-03-27,2014-03-27
"office","0da50353ce3f31d2fb3d3bbcf8503e18",2014-03-26,2014-03-26
"office","0dc77a81e8e69584107c23f55918d560",2014-04-11,2014-04-11
"office","0de1d1e389ca4f4fd0dc47ebdc693ad3",2014-04-08,2014-04-08
"office","0e1807c46d7650b357517090ef518697",2014-04-09,2014-04-09
"office","0e187d5ba6518763f6f4d5b0c0a32e70",2014-08-22,2014-04-29
"office","0e187d5ba6518763f6f4d5b0c0a32e70",2014-04-29,2014-04-29
"office","0e8f7dee8fbec755a9a8164c582e402a",2014-04-03,2014-04-03
"office","0ec192e612fda34c90b06144165e8f2e",2014-03-28,2014-03-28
"office","0f48a41d2b80c670e956a405f2f1f7d4",2014-04-08,2014-04-08
"office","0f899cf7166561e8097b6d0943b70528",2014-04-17,2014-04-17
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-09-22,2014-04-03
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-08-14,2014-04-03
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-07-14,2014-04-03
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-06-24,2014-04-03
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-05-20,2014-04-03
"office","100ecf0f0941c2e84adefc5cd9a2cd71",2014-04-03,2014-04-03
"office","105cd1bba576ffc6d56c7cd4833a6b81",2014-03-31,2014-03-31
"office","1074dd5000e02a2754af4bf8dd58d54c",2014-04-07,2014-04-07
"office","114ee5011ad513e0ba5506283d918313",2014-08-14,2014-04-16
"office","114ee5011ad513e0ba5506283d918313",2014-04-16,2014-04-16
"office","1162b112a5acf5b086398c0cdb28d98f",2014-05-07,2014-04-15
"office","1162b112a5acf5b086398c0cdb28d98f",2014-04-15,2014-04-15
"office","117b10a6e638f844df21b6e4ff1ef282",2014-04-01,2014-04-01
"office","11ee34cc84ace81244f6d187b6d9be3a",2014-04-03,2014-04-03
"office","12f9b1cd6c30a8d6ed4d53cc7a3e1245",2014-05-16,2014-04-03
"office","12f9b1cd6c30a8d6ed4d53cc7a3e1245",2014-04-03,2014-04-03
"office","12f9b1cd6c30a8d6ed4d53cc7a3e1245",2014-04-03,2014-04-03
"office","132c12f78832886b75104f1537ef4c9c",2014-09-02,2014-04-18
"office","132c12f78832886b75104f1537ef4c9c",2014-07-31,2014-04-18
"office","132c12f78832886b75104f1537ef4c9c",2014-04-18,2014-04-18
"office","136f75cbae59c74b46111fcfb3052de2",2014-08-01,2014-04-29
"office","136f75cbae59c74b46111fcfb3052de2",2014-06-26,2014-04-29
"office","136f75cbae59c74b46111fcfb3052de2",2014-04-29,2014-04-29
"office","1397fda02f0a80f50115e2910fe6c7d9",2014-03-26,2014-03-26
"office","13b5853948e9875b87b151b3c8979489",2014-04-16,2014-04-16
"office","13fd8b2f84f3596074b9cd89927cf675",2014-04-03,2014-04-03
"office","14700afce5cdb046c94ea0f15746d892",2014-04-10,2014-04-10
"office","14c9b3fcd642f3d80c3a95f51162294f",2014-03-26,2014-03-26
"office","14e46c23ff73286a0f06bbfd8d5803b2",2014-04-25,2014-04-25
"office","14e7a38a6fcc40993f5b5b2cd58c415d",2014-04-27,2014-04-27
"office","153b2cd4f4f21e51342ec0aad50837cc",2014-04-08,2014-04-08
"office","15a01783ce49f93fbc094857b8eb274b",2014-03-27,2014-03-27
"office","15ef6c7ceb8cc4dd1b97a3c2d7bb58cf",2014-04-16,2014-04-16
"office","15f1c3dba249b05fc299f65ff1c1bbd7",2014-09-09,2014-04-25
"office","15f1c3dba249b05fc299f65ff1c1bbd7",2014-08-12,2014-04-25
"office","15f1c3dba249b05fc299f65ff1c1bbd7",2014-06-04,2014-04-25
"office","15f1c3dba249b05fc299f65ff1c1bbd7",2014-04-25,2014-04-25
"office","16026b88e0cf273af2ffe5009c66cfe3",2014-04-01,2014-04-01
"office","1635310f9c77bc1be6cc1196608012ea",2014-09-30,2014-03-26
"office","1635310f9c77bc1be6cc1196608012ea",2014-09-12,2014-03-26
"office","1635310f9c77bc1be6cc1196608012ea",2014-03-26,2014-03-26
"office","164d6c7b1430a41172ffd67912daf39f",2014-03-31,2014-03-31
"office","1657842fee5565c9d569d901fa4cd1f6",2014-04-01,2014-04-01
"office","16dbb417084de57c830155e87d32e8b0",2014-10-02,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-08-21,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-07-02,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-06-20,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-05-30,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-05-15,2014-03-27
"office","16dbb417084de57c830155e87d32e8b0",2014-03-27,2014-03-27
"office","16e87cc7c428929796ff6fb2eaa4a9b9",2014-03-31,2014-03-31
"office","16f5b859c3bff5f130f73f65d7b8c2fd",2014-04-03,2014-04-03
"office","1756d893c8c28180bf593d4dec0a1219",2014-04-04,2014-04-04
"office","17dc6040ef9b71e4edd3e708e77a93a0",2014-07-24,2014-03-27
"office","17dc6040ef9b71e4edd3e708e77a93a0",2014-03-27,2014-03-27
"office","1847d33976957aa9b1320f4cf5195a17",2014-04-07,2014-04-07
"office","189408d7ea3b0e76cfbc5ef48e7e2dbf",2014-04-03,2014-04-03
"office","18ffb22be89ae288f9fa3e60c7d5ed93",2014-04-16,2014-04-16
"office","19d9627c5dbd9d12d5686c61458c9552",2014-09-05,2014-04-23
"office","19d9627c5dbd9d12d5686c61458c9552",2014-04-23,2014-04-23
"office","1ac3306ebe4d09dad18619dd845a1f59",2014-04-10,2014-04-10
"office","1ad7b1647f1b7d3963616f13df30f97e",2014-04-23,2014-04-23
"office","1aec0b3422f3ff7ed310380014b6061f",2014-04-03,2014-04-03
"office","1b082749cbb6ffda99b9a2241fa44713",2014-04-01,2014-04-01
"office","1b273be8855efdc02294602e2089299c",2014-07-03,2014-03-28
"office","1b273be8855efdc02294602e2089299c",2014-05-08,2014-03-28
"office","1b273be8855efdc02294602e2089299c",2014-04-07,2014-03-28
"office","1b273be8855efdc02294602e2089299c",2014-03-28,2014-03-28
"office","1b2fcc15038fb76d04aea593d7d221bd",2014-10-06,2014-04-22
"office","1b2fcc15038fb76d04aea593d7d221bd",2014-06-23,2014-04-22
"office","1b2fcc15038fb76d04aea593d7d221bd",2014-04-22,2014-04-22
"office","1b8e8a9e678f231e55c709d408900beb",2014-04-22,2014-04-22
"office","1bb036bc6f35139e074c670994d15df8",2014-04-01,2014-04-01
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-10-13,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-09-19,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-09-17,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-08-21,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-07-31,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-07-21,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-06-19,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-06-05,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-05-27,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-05-14,2014-03-27
